"id" "uid" "reg_no" "batch" "biobank_id" "breed" "sex" "sex_name" "born" "event_age_days" "X1a_contact_greeting" "X1b_contact_cooperation" "X1c_contact_handling" "X2a_playful_delight" "X2b_playful_catching" "X2c_playful_catch_drag" "X3a_chase1" "X3a_chase2" "X3b_catching1" "X3b_catching2" "X4_activity" "X5a_avst_playful_interest" "X5b_avst_playful_aggression" "X5c_avst_playful_curiosity" "X5d_avst_playful_delight" "X5e_avst_playful_cooperation" "X6a_surprise_fear" "X6b_surprise_aggression" "X6c_surprise_curiosity" "X6d_surprise_kv_fear" "X6e_surprise_kv_intr" "X7a_noise_fear" "X7b_noise_curiosity" "X7c_noise_kv_fear" "X7d_noise_kv_interest" "X8a_phantom_aggression" "X8b_phantom_control" "X8c_phantom_fear" "X8d_phantom_curiosity" "X8e_phantom_contact" "X9a_playful2_delight" "X9b_playful2_catching" "X10_firearm" "sociability" "curfear" "playfulness" "chapro" "aggres"
"SE53383-2010" "SE53383/2010_665" "SE53383/2010" "L2012" "SE53383-2010" "GSD" 1 "M" 20100717 665 4 4 4 4 3 5 3 4 2 4 3 3 1 3 4 3 3 3 2 1 2 2 5 1 1 3 5 4 3 4 5 5 2 4 4 4.4 3.25 2.33
"SE53391-2010" "SE53391/2010_465" "SE53391/2010" "L2012" "SE53391-2010" "GSD" 0 "F" 20100717 465 4 4 4 5 5 5 4 4 4 4 3 4 2 5 4 4 3 3 5 1 1 2 5 1 1 3 4 2 5 4 5 5 1 4 4.14 5 4 2.67
"9734" "S52863/2008_444" "S52863/2008" "MH2014" "CFA009734" "GSD" 0 "F" 20080710 444 3 2 3 4 4 4 1 1 1 1 4 3 1 5 5 2 3 2 4 2 2 2 5 1 3 2 3 4 1 2 4 3 1 2.67 4.14 3.8 1 1.67
"CFA003574" "S56638/2008_458" "S56638/2008" "MH2014" "CFA003574" "GSD" 1 "M" 20080723 458 5 4 3 4 4 3 4 4 5 5 5 5 4 5 5 2 3 3 3 1 2 2 5 1 1 2 3 1 5 3 4 4 1 4 3.71 3.8 4.5 3
"CFA008331" "S16232/2007_1367" "S16232/2007" "MH2014" "CFA008331" "GSD" 0 "F" 20070111 1367 4 4 4 4 4 1 1 1 1 1 2 3 1 1 1 1 4 1 2 1 2 3 2 1 2 1 4 2 4 4 4 3 1 4 3 3.2 1 1
"CFA009022" "S38573/2009_504" "S38573/2009" "MH2014" "CFA009022" "GSD" 0 "F" 20090527 504 4 3 4 4 5 5 4 4 5 5 3 2 2 4 4 3 3 2 5 1 1 2 5 1 3 2 4 4 4 4 4 5 1 3.67 4.43 4.6 4.5 2
"CFA009024" "SE47394/2011_715" "SE47394/2011" "MH2014" "CFA009024" "GSD" 0 "F" 20090619 715 4 4 3 4 4 4 1 1 1 1 3 3 2 4 5 4 3 3 4 1 1 3 5 1 1 2 4 3 4 4 4 4 1 3.67 4 4 1 2.33
"CFA009055" "S50990/2009_485" "S50990/2009" "MH2014" "CFA009055" "GSD" 0 "F" 20090727 485 4 4 4 4 4 4 1 1 1 1 3 3 1 5 4 4 2 1 5 1 1 2 5 1 3 2 2 1 5 4 4 4 1 4 4.14 4 1 1.33
"CFA009080" "SE22451/2010_467" "SE22451/2010" "MH2014" "CFA009080" "GSD" 0 "F" 20100219 467 4 4 3 4 4 4 1 1 1 1 3 3 2 5 4 4 3 3 4 1 2 1 5 1 1 2 3 2 4 4 4 4 1 3.67 4.14 4 1 2.33
"CFA009081" "SE38097/2010_492" "SE38097/2010" "MH2014" "CFA009081" "GSD" 0 "F" 20100516 492 4 4 3 4 4 4 1 1 1 1 3 4 1 5 4 4 3 3 4 1 2 2 5 1 1 4 5 4 4 4 4 4 1 3.67 4.29 4 1 2.67
"CFA009086" "S35647/2008_483" "S35647/2008" "MH2014" "CFA009086" "GSD" 1 "M" 20080405 483 4 4 4 4 4 5 4 4 5 5 2 4 1 5 5 3 1 1 5 1 3 2 5 1 2 1 4 2 4 4 4 5 1 4 4.43 4.4 4.5 1
"CFA009087" "S27094/2009_793" "S27094/2009" "MH2014" "CFA009087" "GSD" 0 "F" 20090306 793 4 4 4 2 1 2 1 1 1 1 3 2 1 2 1 1 2 1 2 2 1 2 3 1 1 1 2 4 4 4 2 2 1 4 3.71 1.8 1 1
"CFA009088" "S66286/2009_516" "S66286/2009" "MH2014" "CFA009088" "GSD" 0 "F" 20091026 516 4 3 4 4 4 4 4 4 5 5 5 3 1 5 4 2 3 1 5 1 1 3 5 1 1 3 3 5 1 1 4 3 1 3.67 4.43 3.8 4.5 1.67
"CFA009089" "S45947/2008_475" "S45947/2008" "MH2014" "CFA009089" "GSD" 1 "M" 20080504 475 4 3 4 5 4 4 1 1 1 1 2 3 1 2 5 1 4 1 1 1 2 4 2 1 3 1 1 5 2 3 5 4 1 3.67 3.14 4.4 1 1
"CFA009091" "S45950/2008_475" "S45950/2008" "MH2014" "CFA009091" "GSD" 1 "M" 20080504 475 4 3 4 5 3 4 4 4 5 5 4 4 1 5 5 3 1 1 5 1 3 1 5 1 2 2 4 1 5 4 5 3 1 3.67 4.43 4 4.5 1.33
"CFA009092" "S34884/2007_544" "S34884/2007" "MH2014" "CFA009092" "GSD" 0 "F" 20070409 544 4 3 4 5 4 5 4 4 5 5 4 4 1 5 5 5 2 1 5 2 1 1 5 1 2 4 2 4 4 4 4 5 1 3.67 4.57 4.6 4.5 2
"CFA009097" "S24278/2008_443" "S24278/2008" "MH2014" "CFA009097" "GSD" 0 "F" 20080214 443 4 4 4 5 4 3 4 4 5 5 4 4 1 5 3 4 2 1 5 1 2 1 5 1 1 1 4 1 4 4 4 3 2 4 4.29 3.8 4.5 1
"CFA009098" "S53137/2007_372" "S53137/2007" "MH2014" "CFA009098" "GSD" 0 "F" 20070628 372 4 3 4 3 3 3 1 1 1 1 4 3 1 4 2 1 2 2 4 1 3 1 5 1 3 1 2 2 5 3 3 3 1 3.67 4.29 3 1 1.33
"CFA009099" "SE24312/2010_483" "SE24312/2010" "MH2014" "CFA009099" "GSD" 1 "M" 20100214 483 4 3 4 4 3 3 1 1 1 1 4 3 1 2 2 3 4 1 3 1 1 5 3 3 1 1 4 1 5 2 4 3 1 3.67 2.57 3.4 1 1
"CFA009100" "S69751/2007_498" "S69751/2007" "MH2014" "CFA009100" "GSD" 1 "M" 20071103 498 4 4 3 5 4 4 1 1 1 1 2 3 1 2 5 3 3 1 2 1 3 2 5 1 1 1 5 4 2 3 4 4 1 3.67 4 4.2 1 1
"CFA009101" "S13261/2009_502" "S13261/2009" "MH2014" "CFA009101" "GSD" 0 "F" 20081208 502 3 4 4 4 4 3 4 4 5 5 4 3 1 5 4 3 3 3 2 1 2 3 5 1 2 1 3 1 5 5 4 3 1 3.67 3.43 3.6 4.5 1.67
"CFA009102" "S37046/2009_506" "S37046/2009" "MH2014" "CFA009102" "GSD" 1 "M" 20090507 506 4 3 3 5 4 5 4 4 5 5 2 5 1 5 5 4 2 2 5 1 2 1 5 1 1 1 5 1 5 4 5 4 1 3.33 4.29 4.6 4.5 1.33
"CFA009103" "S56168/2009_754" "S56168/2009" "MH2014" "CFA009103" "GSD" 0 "F" 20090811 754 3 2 2 4 4 4 4 4 5 5 3 3 1 3 4 2 2 2 5 1 1 3 5 1 1 2 5 1 5 4 4 4 1 2.33 4 4 4.5 1.67
"CFA009104" "S52250/2007_502" "S52250/2007" "MH2014" "CFA009104" "GSD" 1 "M" 20070712 502 4 3 4 3 3 3 1 1 1 1 4 1 1 1 1 1 3 3 4 1 2 2 5 1 3 3 4 4 3 4 3 3 1 3.67 4.29 3 1 2.33
"CFA009105" "SE34048/2010_486" "SE34048/2010" "MH2014" "CFA009105" "GSD" 0 "F" 20100414 486 4 4 4 4 4 4 1 1 1 1 4 3 4 3 4 3 2 3 3 1 1 3 5 2 1 1 2 1 4 4 3 4 1 4 3.57 3.8 1 2.67
"CFA009107" "S16096/2007_499" "S16096/2007" "MH2014" "CFA009107" "GSD" 0 "F" 20070111 499 4 3 3 4 3 4 4 4 5 5 2 3 3 3 4 3 4 3 3 5 3 3 5 3 2 3 4 1 2 4 4 3 1 3.33 2.57 3.6 4.5 3
"CFA009108" "S41774/2009_459" "S41774/2009" "MH2014" "CFA009108" "GSD" 0 "F" 20090519 459 3 3 4 3 2 1 1 1 1 1 2 3 1 1 1 1 3 2 4 2 1 1 4 1 1 1 3 2 5 4 3 3 1 3.33 3.86 2.4 1 1.33
"CFA009109" "S50969/2009_463" "S50969/2009" "MH2014" "CFA009109" "GSD" 0 "F" 20090703 463 4 4 3 3 5 5 1 1 1 1 5 3 1 2 5 4 3 1 4 1 1 1 5 1 1 2 3 2 3 4 3 4 1 3.67 4.14 4 1 1.33
"CFA009110" "S58786/2008_443" "S58786/2008" "MH2014" "CFA009110" "GSD" 0 "F" 20080814 443 3 3 3 4 4 2 4 4 5 5 3 2 1 5 3 2 2 1 4 1 1 2 5 1 1 3 4 5 1 1 4 4 2 3 4.57 3.6 4.5 1.67
