Typ;Nr;Namn;Address1;Address2;Address3;Address4;Address5;RT90x;RT90y
Butik;1208;Hansa;Malmborgsgatan 6;;211 38;MALMÖ;Skane lan;6167276;1323437
Butik;1209;Kronprinsen;Regementsgatan 50;;217 48;MALMÖ;Skane lan;6166891;1322276
Butik;1211;Limhamn;Linnégatan 47;;216 14;MALMÖ;Skane lan;6165081;1318967
Butik;1213;Vastra Hamnen;Masttorget 2;;211 19;MALMÖ;Skane lan;6168313;1322011
Butik;1214;Emporia;Hyllie Stationsvag 18;;215 32;MALMÖ;Skane lan;6163093.345;1321290.065
Butik;1219;;Seglaregatan 6;;S-234 31;LOMMA;Skane lan;6174940;1327872
Butik;1220;;Kristers Vag 3;;S-247 50;DALBY;Skane lan;6173287;1345419
Butik;1221;;Burlovs Centrum;;232 37;ARLÖV;Skane lan;6171158;1328649
Butik;1222;;Sodergatan 2;;274 31;SKURUP;Skane lan;6152620;1354240
Butik;1224;;Storgatan 15;;233 31;SVEDALA;Skane lan;6156227;1337706
Butik;1225;;Algatan 26;;231 42;TRELLEBORG;Skane lan;6141465;1332130
Butik;1226;;Jarnvagsgatan 2 L;;235 31;VELLINGE;Skane lan;6152534;1323928
Butik;1227;Toppengallerian;Kungstorpsvagen 10;;236 32;HÖLLVIKEN;Skane lan;6147740;1320203
Butik;1230;;Stora Östergatan 13;;S-271 34;YSTAD;Skane lan;6146284;1374488
Butik;1231;;Östergatan 10;;S-275 32;SJÖBO;Skane lan;6168758;1367920
Butik;1232;;Brahogsplatsen 1 C;;S-245 31;STAFFANSTORP;Skane lan;6171225;1336283
Butik;1242;Raa;Landskronavagen 33;;S-252 32;HELSINGBORG;Skane lan;6212432;1308927
Butik;1243;;Drottninggatan 18;;S-252 21;HELSINGBORG;Skane lan;6217608;1306020
Butik;1245;Vala;Bjorkavagen 97;;S-260 36;ÖDÅKRA-VÄLA;Skane lan;6222527;1310841
Butik;1246;;Norra Storgatan 20;;S-267 31;BJUV;Skane lan;6221375;1320090
Butik;1248;;Tradgardsgatan 9;;S-261 31;LANDSKRONA;Skane lan;6197269;1313785
Butik;1249;;Herrevadsgatan 11 H;;S-268 31;SVALÖV;Skane lan;6201665;1331294
Butik;1250;Center Syd;Marknadsvagen 5;;S-246 42;LÖDDEKÖPINGE;Skane lan;6185754.814;1323412.974
Butik;1252;;Storgatan 58 E;;S-263 38;HÖGANÄS;Skane lan;6234950;1298599
Butik;1253;NOVA;Traktorvagen 4;;S-226 60;LUND;Skane lan;6179662;1333949
Butik;1254;;Bangatan 10;;S-222 21;LUND;Skane lan;6178262;1335497
Butik;1255;SALUHALLEN;Martenstorget 1;;S-223 51;LUND;Skane lan;6177810;1335908
Butik;1256;;Stenhuggaregatan 2;;S-244 30;KÄVLINGE;Skane lan;6187935;1330967
Butik;1257;;Sodergatan 14;;S-241 30;ESLÖV;Skane lan;6192683;1343212
Butik;1258;;Nya Torg 10;;S-243 30;HÖÖR;Skane lan;6203019;1358345
Butik;1259;;Nya Torg 8;;S-242 31;HÖRBY;Skane lan;6193571;1365755
Butik;1301;;Kopmansgatan 5;;S-302 42;HALMSTAD;Hallands lan;6286869;1319259
Butik;1302;;Eurostop Kopcenter;;30263;HALMSTAD;Hallands lan;6284711;1322450
Butik;1304;;Storgatan 10b;;314 31;HYLTEBRUK;Hallands lan;6322155;1344106
Butik;1305;;Östertullsgatan 12;;S-312 30;LAHOLM;Hallands lan;6268301;1330033
Butik;1306;;Stortorget 3 B;;S-311 30;FALKENBERG;Hallands lan;6313691;1298142
Butik;1307;;Vastra Vallgatan 6;;S-432 41;VARBERG;Hallands lan;6336631;1284500
Butik;1308;;Nygatan 17;;434 30;KUNGSBACKA;Hallands lan;6379493;1276554
Butik;1309;Flygstaden;Kundvagen 5e;;30241;Halmstad;Hallands lan;6287474;1316239
Butik;1310;Breared;Vrangagatan 5;;432 38;VARBERG;Hallands lan;6334039.451;1286318.185
Butik;1311;;Hedebrovagen 50;;434 39;Kungsbacka;Hallands lan;6382872.95;1276456.46
Butik;1404;;Kungsportsavenyn 18;;411 36;GÖTEBORG;Vastra Gotalands lan;6403733;1271722
Butik;1406;;Kungstorget 1;;411 17;GÖTEBORG;Vastra Gotalands lan;6404043;1271243
Butik;1407;Olskroken;Kobbarnas vag 1;;416 64;GÖTEBORG;Vastra Gotalands lan;6405184;1273064
Butik;1409;;Torpavallsgatan 4;;416 73;GÖTEBORG;Vastra Gotalands lan;6406126;1274930
Butik;1410;Nordstan;Lilla Kladpressaregatan 8-16;;411 05;GÖTEBORG;Vastra Gotalands lan;6404812;1271369
Butik;1411;;Linnégatan 28 B;;413 04;GÖTEBORG;Vastra Gotalands lan;6403411;1270271
Butik;1412;;Kapellplatsen 4;;411 31;GÖTEBORG;Vastra Gotalands lan;6402961;1271407
Butik;1413;Garda;Åvagen 42;;412 51;GÖTEBORG;Vastra Gotalands lan;6403428;1272761
Butik;1414;Backaplan;Swedenborgsgatan 5;;417 05;GÖTEBORG;Vastra Gotalands lan;6406423;1270416
Butik;1415;;Karl Johansgatan 85;;414 51;GÖTEBORG;Vastra Gotalands lan;6402845;1267940
Butik;1416;Backebol Homecenter;Transportgatan 19-21;;S-422 46;HISINGS BACKA;Vastra Gotalands lan;6411470.983;1273672.71
Butik;1417;Eriksberg;Kolhamnsgatan 9;;417 61;GÖTEBORG;Vastra Gotalands lan;6404850;1268441
Butik;1418;Gamlestaden;Hornsgatan 1;;415 26;GÖTEBORG;Vastra Gotalands lan;6406688;1274154
Butik;1420;;Frolunda Torg;;421 42;VÄSTRA FRÖLUNDA;Vastra Gotalands lan;6398598;1267803
Butik;1423;;Angereds Torg 4;;424 65;ANGERED;Vastra Gotalands lan;6414264;1276844
Butik;1424;Sisjon;Hantverksvagen 2-8;;436 33;ASKIM;Vastra Gotalands lan;6397481;1269750
Butik;1425;;Norgardsvagen 10 B;;475 32;ÖCKERÖ;Vastra Gotalands lan;6405734;1252658
Butik;1426;;Flygfaltsgatan 50;;423 37;TORSLANDA;Vastra Gotalands lan;6405474;1260362
Butik;1428;;Biblioteksvagen 14 B;;435 30;MÖLNLYCKE;Vastra Gotalands lan;6398561;1279829
Butik;1429;;Ekenleden 5;;428 36;KÅLLERED;Vastra Gotalands lan;6394219;1275116
Butik;1430;;Kyrktorget 14;;433 33;PARTILLE;Vastra Gotalands lan;6407632;1279784
Butik;1431;;Brogatan 9;;431 30;MÖLNDAL;Vastra Gotalands lan;6398613.864;1273835.974
Butik;1432;;Strandgatan 79;;442 31;KUNGÄLV;Vastra Gotalands lan;6422621;1273096
Butik;1433;;Krokdalsvagen 4;;471 32;SKÄRHAMN;Vastra Gotalands lan;6436974;1248621
Butik;1434;;Östra Kopmansgatan 25;;S-444 30;STENUNGSUND;Vastra Gotalands lan;6445105;1264726
Butik;1435;;Hamntorget;;473 34;HENÅN;Vastra Gotalands lan;6464503;1257692
Butik;1436;;Vasterlanggatan 2 B;;S-451 31;UDDEVALLA;Vastra Gotalands lan;6476090;1273297
Butik;1437;;Torp Kopcenter;;S-451 76;UDDEVALLA;Vastra Gotalands lan;6477143;1266335
Butik;1438;;Stromstadsvagen 1;;S-455 30;MUNKEDAL;Vastra Gotalands lan;6490091;1258968
Butik;1439;;Hallindenvagen 2 B;;S-456 34;KUNGSHAMN;Vastra Gotalands lan;6479435;1234004
Butik;1440;;Korsgatan 5;;S-453 33;LYSEKIL;Vastra Gotalands lan;6469508;1243607
Butik;1441;;Oslovagen 7;;S-452 35;STRÖMSTAD;Vastra Gotalands lan;6544581;1233628
Butik;1442;;Oslovagen 56;;S-452 35;STRÖMSTAD;Vastra Gotalands lan;6545334.592;1234585.595
Butik;1443;;Saltevagen 3;;S-457 72;GREBBESTAD;Vastra Gotalands lan;6516725;1236229
Butik;1501;;Sundsgatan 6;;S-462 33;VÄNERSBORG;Vastra Gotalands lan;6478252;1296225
Butik;1503;Anes vag 2;Överby Kopcenter;;S-461 70;Trollhattan;Vastra Gotalands lan;6470997.14;1294751.786
Butik;1504;;Kungsgatan 32;;S-461 30;TROLLHÄTTAN;Vastra Gotalands lan;6467768;1293872
Butik;1505;;Torggatan 11;;S-662 31;ÅMÅL;Vastra Gotalands lan;6551974;1321958
Butik;1506;;Storgatan 8;;S-464 30;MELLERUD;Vastra Gotalands lan;6513503;1305695
Butik;1507;;Berglunds Grand 1;;S-666 30;BENGTSFORS;Vastra Gotalands lan;6550815;1294435
Butik;1508;Solkatten;Lerum Centrum;;443 30;LERUM;Vastra Gotalands lan;6410533;1289650
Butik;1509;Dals-Ed;Storgatan 26;;S-668 30;ED;Vastra Gotalands lan;6538721;1276888
Butik;1511;;Goteborgsvagen 21;;517 36;BOLLEBYGD;Vastra Gotalands lan;6398379;1307054
Butik;1512;;Allégatan 16;;503 32;BORÅS;Vastra Gotalands lan;6403409;1329329
